,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),price(in eur)
0,2017 Mercedes-Benz S-Class S400,Jul-17,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,7.81,2996.0,2996.0,333.0,63.75,70125.0
1,2020 Nissan Magnite Turbo CVT XV Premium Opt BSVI,Jan-21,Comprehensive,Petrol,5,30615,First Owner,Automatic,2020,17.4,999.0,999.0,9863.0,8.99,9889.0
2,2018 BMW X1 sDrive 20d xLine,Sep-18,Comprehensive,Diesel,5,24000,First Owner,Automatic,2018,20.68,1995.0,1995.0,188.0,23.75,26125.0
3,2019 Kia Seltos GTX Plus,Dec-19,Comprehensive,Petrol,5,18378,First Owner,Manual,2019,16.5,1353.0,1353.0,13808.0,13.56,14916.0
4,2019 Skoda Superb LK 1.8 TSI AT,Aug-19,Comprehensive,Petrol,5,44900,First Owner,Automatic,2019,14.67,1798.0,1798.0,17746.0,24.0,26400.0
5,2017 Honda Jazz 1.2 S i VTEC,Jul-17,Third Party insurance,Petrol,5,42000,First Owner,Manual,2017,18.7,1199.0,1199.0,887.0,5.45,5995.0
6,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Feb-19,Comprehensive,Petrol,5,36739,First Owner,Manual,2018,18.9,1197.0,1197.0,8186.0,5.12,5632.0
7,2018 Hyundai Creta 1.6 SX,Jul-18,Comprehensive,Petrol,5,76000,First Owner,Manual,2018,15.8,1591.0,1591.0,1213.0,9.3,10230.0
8,2015 Mercedes-Benz S-Class S 350 CDI,Apr-15,Comprehensive,Diesel,5,68000,Second Owner,Automatic,2015,13.5,2987.0,2987.0,25479.0,42.0,46200.0
9,2019 Tata Nexon 1.2 Revotron XZ Plus,Mar-19,Comprehensive,Petrol,5,28783,First Owner,Manual,2019,17.0,1198.0,1198.0,1085.0,8.02,8822.0
10,2020 Honda City VX CVT,Mar-20,Comprehensive,Petrol,5,40000,First Owner,Automatic,2020,17.4,1497.0,1497.0,1176.0,10.95,12045.0
11,2021 Renault Duster RXS,Feb-22,Comprehensive,Petrol,5,17382,First Owner,Manual,2021,16.42,1498.0,1498.0,10455.0,8.99,9889.0
12,2014 BMW 3 Series 320d Prestige,2014,Third Party insurance,Diesel,5,120000,First Owner,Automatic,2014,18.88,1995.0,1995.0,184.0,7.45,8195.0
13,2021 Hyundai Venue SX Plus Turbo DCT,Jan-22,Comprehensive,Petrol,5,17000,First Owner,Automatic,2021,18.15,998.0,998.0,11835.0,10.95,12045.0
14,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Apr-19,Comprehensive,Petrol,5,26867,First Owner,Manual,2019,18.9,1197.0,1197.0,8186.0,5.78,6358.0
